timestamp,cell_id,traffic_load_mbps,signal_strength_dbm,congestion_ratio,energy_kwh,users
2026-03-05 08:00:00+00:00,101,0.0,0.0,0.0,0.0,0.0
2026-03-05 08:05:00+00:00,101,0.08840413318025253,0.11111111111111072,0.09090909090909094,0.07207207207207222,0.0769230769230771
2026-03-05 08:10:00+00:00,101,0.16647531572904706,0.22222222222222143,0.1515151515151516,0.1351351351351351,0.16025641025641035
2026-03-05 08:15:00+00:00,101,0.2548794489092996,0.3333333333333339,0.24242424242424243,0.2072072072072073,0.2435897435897436
2026-03-05 08:20:00+00:00,101,0.34328358208955234,0.44444444444444464,0.36363636363636376,0.31531531531531565,0.35897435897435903
2026-03-05 08:25:00+00:00,101,0.4316877152698049,0.44444444444444464,0.4242424242424241,0.3783783783783785,0.4423076923076923
2026-03-05 08:30:00+00:00,101,0.5177956371986223,0.5555555555555554,0.5151515151515151,0.45945945945945965,0.5128205128205128
2026-03-05 08:35:00+00:00,101,0.6016073478760047,0.5555555555555554,0.5757575757575757,0.5315315315315314,0.5833333333333335
2026-03-05 08:40:00+00:00,101,0.6808266360505166,0.6666666666666661,0.6666666666666665,0.6126126126126126,0.6602564102564104
2026-03-05 08:45:00+00:00,101,0.7543053960964408,0.6666666666666661,0.7272727272727273,0.6846846846846848,0.7307692307692308
2026-03-05 08:50:00+00:00,101,0.8208955223880599,0.7777777777777777,0.7878787878787878,0.7657657657657659,0.8012820512820513
2026-03-05 08:55:00+00:00,101,0.8794489092996554,0.7777777777777777,0.8484848484848484,0.8378378378378382,0.858974358974359
2026-03-05 09:00:00+00:00,101,0.928817451205511,0.8888888888888884,0.909090909090909,0.9099099099099104,0.9102564102564101
2026-03-05 09:05:00+00:00,101,0.9678530424799081,0.8888888888888884,0.9393939393939394,0.9549549549549554,0.9551282051282053
2026-03-05 09:10:00+00:00,101,0.9919632606199771,0.8888888888888884,0.9696969696969697,0.9819819819819826,0.9807692307692308
2026-03-05 09:15:00+00:00,101,0.9999999999999998,1.0,1.0,1.0,1.0
2026-03-05 09:20:00+00:00,101,0.9873708381171069,1.0,0.9696969696969697,0.9729729729729728,0.9743589743589745
2026-03-05 09:25:00+00:00,101,0.9552238805970148,1.0,0.909090909090909,0.9189189189189193,0.9294871794871797
2026-03-05 09:30:00+00:00,101,0.9035591274397243,0.8888888888888884,0.8181818181818181,0.855855855855856,0.8653846153846154
2026-03-05 09:35:00+00:00,101,0.8323765786452355,0.7777777777777777,0.7272727272727273,0.7747747747747749,0.7884615384615385
2026-03-05 09:40:00+00:00,101,0.7416762342135474,0.6666666666666661,0.606060606060606,0.6846846846846848,0.6987179487179487
2026-03-05 09:45:00+00:00,101,0.6371986222732493,0.5555555555555554,0.48484848484848486,0.5765765765765769,0.6025641025641026
2026-03-05 09:50:00+00:00,101,0.5235361653272101,0.44444444444444464,0.36363636363636376,0.46846846846846857,0.5
2026-03-05 09:55:00+00:00,101,0.40528128587830103,0.3333333333333339,0.24242424242424243,0.3423423423423424,0.39102564102564097
